id,framework,subcategory,best_practice_checklist_item,description,priority,category,implementation_effort,business_impact,createdAt,updatedAt
bp-001,NIST CSF 2.0,Identify,Maintain comprehensive asset inventory,Keep detailed records of all IT assets including hardware software and data with ownership and location information,High,Asset Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-002,NIST CSF 2.0,Identify,Document data flows and system boundaries,Map how data moves through your organization and identify system boundaries,Medium,Data Management,Medium,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-003,NIST CSF 2.0,Identify,Establish baseline configurations,Create and maintain secure baseline configurations for all systems,High,Configuration Management,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-004,NIST CSF 2.0,Identify,Implement continuous monitoring,Deploy automated monitoring tools to track system and network activities,High,Monitoring,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-005,NIST CSF 2.0,Identify,Conduct regular vulnerability assessments,Perform systematic vulnerability scans and assessments of all systems,High,Vulnerability Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-006,NIST CSF 2.0,Protect,Implement multi-factor authentication,Require MFA for all privileged accounts and remote access,High,Access Control,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-007,NIST CSF 2.0,Protect,Encrypt data at rest and in transit,Implement strong encryption for sensitive data both at rest and in transit,High,Data Protection,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-008,NIST CSF 2.0,Protect,Establish network segmentation,Separate network segments for different security zones and critical systems,High,Network Security,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-009,NIST CSF 2.0,Protect,Implement endpoint detection and response,Deploy EDR solutions to monitor and respond to endpoint threats,High,Endpoint Security,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-010,NIST CSF 2.0,Protect,Conduct security awareness training,Provide regular security training to all personnel including phishing simulation,Medium,Human Resources,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-011,NIST CSF 2.0,Detect,Deploy security information and event management,Implement SIEM to collect analyze and correlate security events,High,Monitoring,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-012,NIST CSF 2.0,Detect,Implement intrusion detection systems,Deploy IDS to monitor network traffic for malicious activities,High,Network Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-013,NIST CSF 2.0,Detect,Establish log management procedures,Implement centralized logging and log analysis capabilities,Medium,Logging,Medium,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-014,NIST CSF 2.0,Detect,Monitor privileged access,Track and monitor all privileged account activities,High,Access Control,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-015,NIST CSF 2.0,Detect,Implement threat intelligence feeds,Subscribe to and integrate threat intelligence sources,Medium,Threat Intelligence,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-016,NIST CSF 2.0,Respond,Develop incident response plan,Create comprehensive incident response procedures and playbooks,High,Incident Response,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-017,NIST CSF 2.0,Respond,Establish communication procedures,Define clear communication channels and escalation procedures,Medium,Incident Response,Low,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-018,NIST CSF 2.0,Respond,Conduct tabletop exercises,Regularly practice incident response procedures through exercises,Medium,Incident Response,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-019,NIST CSF 2.0,Respond,Implement automated response capabilities,Deploy automated tools to contain and mitigate threats,High,Incident Response,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-020,NIST CSF 2.0,Respond,Establish forensic capabilities,Develop capabilities to preserve and analyze digital evidence,Medium,Forensics,High,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-021,NIST CSF 2.0,Recover,Implement backup and recovery procedures,Establish regular backup procedures and test recovery processes,High,Backup Recovery,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-022,NIST CSF 2.0,Recover,Develop business continuity plan,Create comprehensive business continuity and disaster recovery plans,High,Business Continuity,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-023,NIST CSF 2.0,Recover,Test recovery procedures,Regularly test and validate backup and recovery procedures,Medium,Backup Recovery,Low,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-024,NIST CSF 2.0,Recover,Implement lessons learned,Document and implement lessons learned from incidents,Low,Process Improvement,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-025,NIST CSF 2.0,Recover,Establish communication with stakeholders,Maintain clear communication with stakeholders during recovery,Medium,Communication,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-026,OWASP Top 10,A01:2021 - Broken Access Control,Implement proper authentication mechanisms,Use strong authentication methods and secure session management,High,Access Control,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-027,OWASP Top 10,A01:2021 - Broken Access Control,Enforce principle of least privilege,Ensure users have minimum necessary permissions,High,Access Control,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-028,OWASP Top 10,A01:2021 - Broken Access Control,Implement proper session management,Use secure session tokens and implement session timeout,High,Session Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-029,OWASP Top 10,A01:2021 - Broken Access Control,Validate access controls server-side,Implement server-side validation for all access control decisions,High,Access Control,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-030,OWASP Top 10,A01:2021 - Broken Access Control,Log access control failures,Monitor and log all access control violations,Medium,Logging,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-031,OWASP Top 10,A02:2021 - Cryptographic Failures,Use strong encryption algorithms,Implement industry-standard encryption algorithms and key management,High,Encryption,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-032,OWASP Top 10,A02:2021 - Cryptographic Failures,Protect sensitive data in transit,Encrypt all sensitive data during transmission,High,Data Protection,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-033,OWASP Top 10,A02:2021 - Cryptographic Failures,Implement proper key management,Use secure key generation storage and rotation practices,High,Key Management,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-034,OWASP Top 10,A02:2021 - Cryptographic Failures,Avoid deprecated cryptographic functions,Remove use of deprecated or weak cryptographic functions,High,Encryption,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-035,OWASP Top 10,A02:2021 - Cryptographic Failures,Implement secure random number generation,Use cryptographically secure random number generators,Medium,Encryption,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-036,OWASP Top 10,A03:2021 - Injection,Implement input validation,Validate and sanitize all user inputs,High,Input Validation,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-037,OWASP Top 10,A03:2021 - Injection,Use parameterized queries,Implement parameterized queries to prevent SQL injection,High,Database Security,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-038,OWASP Top 10,A03:2021 - Injection,Implement output encoding,Encode output data to prevent injection attacks,High,Output Encoding,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-039,OWASP Top 10,A03:2021 - Injection,Use prepared statements,Utilize prepared statements for database operations,High,Database Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-040,OWASP Top 10,A03:2021 - Injection,Implement least privilege database access,Restrict database user permissions to minimum necessary,Medium,Database Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-041,OWASP Top 10,A04:2021 - Insecure Design,Implement secure design principles,Apply security by design principles throughout development,High,Secure Design,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-042,OWASP Top 10,A04:2021 - Insecure Design,Conduct threat modeling,Perform threat modeling during design phase,High,Threat Modeling,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-043,OWASP Top 10,A04:2021 - Insecure Design,Implement security requirements,Define and implement security requirements from the start,High,Requirements,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-044,OWASP Top 10,A04:2021 - Insecure Design,Use secure coding standards,Follow established secure coding standards and guidelines,Medium,Secure Coding,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-045,OWASP Top 10,A04:2021 - Insecure Design,Implement security testing,Conduct regular security testing throughout development,Medium,Security Testing,Medium,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-046,OWASP Top 10,A05:2021 - Security Misconfiguration,Implement secure default configurations,Use secure default settings and configurations,High,Configuration,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-047,OWASP Top 10,A05:2021 - Security Misconfiguration,Regularly update and patch systems,Keep all systems and components updated with latest patches,High,Patch Management,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-048,OWASP Top 10,A05:2021 - Security Misconfiguration,Remove unnecessary features,Disable or remove unnecessary features and services,Medium,Configuration,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-049,OWASP Top 10,A05:2021 - Security Misconfiguration,Implement security headers,Configure appropriate security headers for web applications,Medium,Web Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-050,OWASP Top 10,A05:2021 - Security Misconfiguration,Conduct security configuration reviews,Regularly review and audit security configurations,Medium,Configuration,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-051,OWASP Top 10,A06:2021 - Vulnerable Components,Maintain inventory of components,Keep detailed inventory of all third-party components,High,Component Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-052,OWASP Top 10,A06:2021 - Vulnerable Components,Monitor for vulnerabilities,Continuously monitor for vulnerabilities in third-party components,High,Vulnerability Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-053,OWASP Top 10,A06:2021 - Vulnerable Components,Implement timely patching,Apply security patches promptly when available,High,Patch Management,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-054,OWASP Top 10,A06:2021 - Vulnerable Components,Use trusted sources,Obtain components only from trusted and verified sources,Medium,Supply Chain,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-055,OWASP Top 10,A06:2021 - Vulnerable Components,Implement component testing,Test third-party components for security vulnerabilities,Medium,Security Testing,Medium,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-056,OWASP Top 10,A07:2021 - Authentication Failures,Implement strong authentication,Use multi-factor authentication and strong password policies,High,Authentication,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-057,OWASP Top 10,A07:2021 - Authentication Failures,Protect against brute force attacks,Implement account lockout and rate limiting,High,Authentication,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-058,OWASP Top 10,A07:2021 - Authentication Failures,Implement secure password storage,Use proper password hashing and storage mechanisms,High,Password Security,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-059,OWASP Top 10,A07:2021 - Authentication Failures,Use secure session management,Implement secure session tokens and proper session handling,High,Session Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-060,OWASP Top 10,A07:2021 - Authentication Failures,Implement account recovery,Provide secure account recovery mechanisms,Medium,Authentication,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-061,OWASP Top 10,A08:2021 - Software and Data Integrity Failures,Implement code signing,Use digital signatures to verify software integrity,High,Code Integrity,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-062,OWASP Top 10,A08:2021 - Software and Data Integrity Failures,Verify data integrity,Implement checksums and integrity verification,High,Data Integrity,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-063,OWASP Top 10,A08:2021 - Software and Data Integrity Failures,Use secure update mechanisms,Implement secure and authenticated update processes,High,Update Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-064,OWASP Top 10,A08:2021 - Software and Data Integrity Failures,Implement supply chain security,Secure the software supply chain and dependencies,High,Supply Chain,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-065,OWASP Top 10,A08:2021 - Software and Data Integrity Failures,Monitor for tampering,Implement monitoring to detect unauthorized changes,Medium,Monitoring,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-066,OWASP Top 10,A09:2021 - Security Logging and Monitoring Failures,Implement comprehensive logging,Log all security-relevant events and activities,High,Logging,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-067,OWASP Top 10,A09:2021 - Security Logging and Monitoring Failures,Protect log integrity,Secure logs from tampering and unauthorized access,High,Log Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-068,OWASP Top 10,A09:2021 - Security Logging and Monitoring Failures,Implement log monitoring,Monitor logs for suspicious activities and anomalies,High,Log Monitoring,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-069,OWASP Top 10,A09:2021 - Security Logging and Monitoring Failures,Establish log retention,Define and implement appropriate log retention policies,Medium,Log Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-070,OWASP Top 10,A09:2021 - Security Logging and Monitoring Failures,Implement alerting,Set up automated alerts for critical security events,Medium,Alerting,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-071,OWASP Top 10,A10:2021 - Server-Side Request Forgery,Validate and sanitize URLs,Validate and sanitize all user-supplied URLs,High,Input Validation,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-072,OWASP Top 10,A10:2021 - Server-Side Request Forgery,Implement allowlists,Use allowlists for permitted destinations,High,Access Control,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-073,OWASP Top 10,A10:2021 - Server-Side Request Forgery,Use network segmentation,Implement network segmentation to limit request destinations,Medium,Network Security,Medium,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-074,OWASP Top 10,A10:2021 - Server-Side Request Forgery,Implement request timeouts,Set appropriate timeouts for external requests,Medium,Network Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-075,OWASP Top 10,A10:2021 - Server-Side Request Forgery,Monitor for SSRF attempts,Implement monitoring to detect SSRF attack attempts,Medium,Monitoring,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-076,Center for Internet Security (CIS),Basic CIS Controls,Inventory and Control of Enterprise Assets,Actively manage all enterprise assets to prevent unauthorized devices from accessing the network,High,Asset Management,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-077,Center for Internet Security (CIS),Basic CIS Controls,Inventory and Control of Software Assets,Actively manage all software on the network to prevent unauthorized software from executing,High,Software Management,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-078,Center for Internet Security (CIS),Basic CIS Controls,Data Protection,Develop processes and technical safeguards to protect data from unauthorized access,High,Data Protection,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-079,Center for Internet Security (CIS),Basic CIS Controls,Secure Configuration of Enterprise Assets,Establish and maintain secure configurations for all enterprise assets,High,Configuration Management,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-080,Center for Internet Security (CIS),Basic CIS Controls,Account Management,Use processes and tools to assign and manage authorization to credentials and privileges,High,Access Management,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-081,Center for Internet Security (CIS),Basic CIS Controls,Access Control Management,Use processes and tools to create assign manage and revoke access credentials and privileges,High,Access Control,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-082,Center for Internet Security (CIS),Basic CIS Controls,Continuous Vulnerability Management,Develop and maintain a vulnerability management process,High,Vulnerability Management,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-083,Center for Internet Security (CIS),Basic CIS Controls,Audit Log Management,Collect alert on and analyze audit logs of events that could help detect understand or recover from an attack,High,Log Management,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-084,Center for Internet Security (CIS),Basic CIS Controls,Email and Web Browser Protections,Improve protections and detections on email and web browser vectors,High,Web Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-085,Center for Internet Security (CIS),Basic CIS Controls,Malware Defenses,Control the installation spread and execution of malicious code,High,Malware Protection,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-086,Center for Internet Security (CIS),Basic CIS Controls,Data Recovery,Ensure the ability to restore data from backups,High,Backup Recovery,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-087,Center for Internet Security (CIS),Basic CIS Controls,Network Infrastructure Management,Establish maintain and monitor network infrastructure devices,High,Network Management,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-088,Center for Internet Security (CIS),Basic CIS Controls,Network Monitoring and Defense,Operate processes and tooling to establish and maintain comprehensive network monitoring and defense,High,Network Security,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-089,Center for Internet Security (CIS),Basic CIS Controls,Security Awareness and Skills Training,Establish and maintain a security awareness program,Medium,Training,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-090,Center for Internet Security (CIS),Basic CIS Controls,Service Provider Management,Develop and maintain a service provider management program,Medium,Third Party,Medium,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-091,Center for Internet Security (CIS),Basic CIS Controls,Application Software Security,Manage the security life cycle of in-house developed applications,High,Application Security,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-092,Center for Internet Security (CIS),Basic CIS Controls,Incident Response Management,Establish and maintain an incident response capability,High,Incident Response,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-093,Center for Internet Security (CIS),Basic CIS Controls,Penetration Testing,Test the effectiveness and resiliency of enterprise assets through penetration testing,High,Testing,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-094,Center for Internet Security (CIS),Basic CIS Controls,Red Team Exercises,Test the effectiveness and resiliency of enterprise assets through red team exercises,High,Testing,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-095,Center for Internet Security (CIS),Basic CIS Controls,Incident Response Plan,Develop and maintain an incident response plan,High,Incident Response,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-096,Center for Internet Security (CIS),Basic CIS Controls,Incident Response Team,Establish and maintain an incident response team,High,Incident Response,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-097,Center for Internet Security (CIS),Basic CIS Controls,Incident Response Procedures,Develop and maintain incident response procedures,High,Incident Response,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-098,Center for Internet Security (CIS),Basic CIS Controls,Incident Response Communication,Establish and maintain incident response communication procedures,Medium,Incident Response,Low,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-099,Center for Internet Security (CIS),Basic CIS Controls,Incident Response Training,Provide incident response training to team members,Medium,Training,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-100,Center for Internet Security (CIS),Basic CIS Controls,Incident Response Testing,Regularly test incident response procedures,Medium,Testing,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-101,FedRAMP,Access Control,Implement Multi-Factor Authentication,Require MFA for all privileged accounts and remote access,High,Access Control,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-102,FedRAMP,Access Control,Implement Role-Based Access Control,Use RBAC to manage user permissions and access rights,High,Access Control,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-103,FedRAMP,Access Control,Implement Least Privilege Principle,Ensure users have minimum necessary permissions,High,Access Control,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-104,FedRAMP,Access Control,Implement Account Lockout Policies,Configure account lockout after failed login attempts,Medium,Access Control,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-105,FedRAMP,Access Control,Implement Session Management,Use secure session tokens and implement session timeout,High,Session Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-106,FedRAMP,Access Control,Implement Privileged Access Management,Manage and monitor privileged account access,High,Access Management,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-107,FedRAMP,Access Control,Implement Access Reviews,Conduct regular access reviews and certifications,Medium,Access Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-108,FedRAMP,Access Control,Implement Identity Management,Use centralized identity management systems,High,Identity Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-109,FedRAMP,Access Control,Implement Single Sign-On,Use SSO for centralized authentication,Medium,Authentication,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-110,FedRAMP,Access Control,Implement Access Logging,Log all access control events and activities,High,Logging,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-111,FedRAMP,Data Protection,Implement Data Encryption,Encrypt sensitive data at rest and in transit,High,Data Protection,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-112,FedRAMP,Data Protection,Implement Data Classification,Classify data based on sensitivity and handling requirements,High,Data Classification,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-113,FedRAMP,Data Protection,Implement Data Loss Prevention,Use DLP tools to prevent unauthorized data disclosure,High,Data Protection,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-114,FedRAMP,Data Protection,Implement Backup and Recovery,Establish comprehensive backup and recovery procedures,High,Backup Recovery,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-115,FedRAMP,Data Protection,Implement Data Retention,Define and implement data retention policies,Medium,Data Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-116,FedRAMP,Data Protection,Implement Data Sanitization,Properly sanitize data before disposal,Medium,Data Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-117,FedRAMP,Data Protection,Implement Data Integrity,Use checksums and integrity verification,High,Data Integrity,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-118,FedRAMP,Data Protection,Implement Data Masking,Use data masking for non-production environments,Medium,Data Protection,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-119,FedRAMP,Data Protection,Implement Data Governance,Establish data governance policies and procedures,Medium,Data Governance,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-120,FedRAMP,Data Protection,Implement Data Privacy,Ensure compliance with privacy regulations,High,Privacy,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-121,FedRAMP,Network Security,Implement Network Segmentation,Separate network segments for different security zones,High,Network Security,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-122,FedRAMP,Network Security,Implement Firewall Rules,Configure and maintain firewall rules and policies,High,Network Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-123,FedRAMP,Network Security,Implement Intrusion Detection,Deploy IDS to monitor network traffic,High,Network Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-124,FedRAMP,Network Security,Implement Network Monitoring,Monitor network traffic and activities,High,Network Monitoring,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
