id,framework,subcategory,best_practice_checklist_item,description,priority,category,implementation_effort,business_impact,createdAt,updatedAt
bp-125,FedRAMP,Network Security,Implement VPN Access,Use secure VPN for remote access,High,Remote Access,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-126,FedRAMP,Network Security,Implement Network Access Control,Use NAC to control network access,High,Network Access,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-127,FedRAMP,Network Security,Implement Network Encryption,Encrypt network communications,High,Network Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-128,FedRAMP,Network Security,Implement Network Hardening,Hardening network devices and configurations,High,Network Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-129,FedRAMP,Network Security,Implement Network Documentation,Document network architecture and configurations,Medium,Documentation,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-130,FedRAMP,Network Security,Implement Network Testing,Regularly test network security controls,Medium,Testing,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-131,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Governance Framework,Establish comprehensive cloud governance policies and procedures,High,Cloud Governance,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-132,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Risk Management,Develop and maintain cloud risk management processes,High,Risk Management,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-133,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Compliance,Ensure compliance with cloud security standards,High,Compliance,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-134,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Audit,Conduct regular cloud security audits,Medium,Auditing,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-135,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Training,Provide cloud security training to personnel,Medium,Training,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-136,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Documentation,Document cloud security policies and procedures,Medium,Documentation,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-137,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Monitoring,Monitor cloud security controls and activities,High,Cloud Monitoring,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-138,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Incident Response,Develop cloud-specific incident response procedures,High,Incident Response,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-139,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Business Continuity,Develop cloud business continuity plans,High,Business Continuity,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-140,Cloud Security Alliance (CSA),Cloud Governance,Implement Cloud Vendor Management,Manage cloud service provider relationships,Medium,Vendor Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-141,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Encryption,Encrypt data in cloud environments,High,Cloud Security,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-142,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Classification,Classify data in cloud environments,High,Data Classification,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-143,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Loss Prevention,Use DLP in cloud environments,High,Data Protection,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-144,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Backup,Establish cloud backup procedures,High,Backup Recovery,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-145,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Retention,Define cloud data retention policies,Medium,Data Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-146,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Sanitization,Sanitize data in cloud environments,Medium,Data Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-147,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Integrity,Ensure data integrity in cloud,High,Data Integrity,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-148,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Masking,Use data masking in cloud environments,Medium,Data Protection,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-149,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Governance,Establish cloud data governance,Medium,Data Governance,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-150,Cloud Security Alliance (CSA),Cloud Data Security,Implement Cloud Data Privacy,Ensure cloud data privacy compliance,High,Privacy,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-151,MITRE ATT&CK Framework,Initial Access,Implement Email Security Controls,Deploy email security solutions to prevent phishing and malicious attachments,High,Email Security,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-152,MITRE ATT&CK Framework,Initial Access,Implement Web Security Controls,Deploy web security solutions to prevent malicious downloads,High,Web Security,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-153,MITRE ATT&CK Framework,Initial Access,Implement Supply Chain Security,Secure software supply chain and third-party components,High,Supply Chain,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-154,MITRE ATT&CK Framework,Initial Access,Implement Trusted Relationship Security,Secure trusted relationships and partnerships,Medium,Trust Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-155,MITRE ATT&CK Framework,Initial Access,Implement Valid Accounts Security,Secure and monitor valid account usage,High,Account Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-156,MITRE ATT&CK Framework,Initial Access,Implement Public-Facing Application Security,Secure public-facing applications and services,High,Application Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-157,MITRE ATT&CK Framework,Initial Access,Implement External Remote Services Security,Secure external remote services and access,High,Remote Access,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-158,MITRE ATT&CK Framework,Initial Access,Implement Hardware Additions Security,Secure against unauthorized hardware additions,Medium,Hardware Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-159,MITRE ATT&CK Framework,Initial Access,Implement Replication Through Removable Media Security,Secure against malicious removable media,Medium,Media Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-160,MITRE ATT&CK Framework,Initial Access,Implement Supply Chain Compromise Security,Secure against supply chain compromises,High,Supply Chain,High,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-161,MITRE ATT&CK Framework,Execution,Implement Command and Scripting Interpreter Security,Secure command and scripting interpreters,High,Script Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-162,MITRE ATT&CK Framework,Execution,Implement User Execution Security,Secure user execution environments,High,User Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-163,MITRE ATT&CK Framework,Execution,Implement Binary Execution Security,Secure binary execution and file systems,High,File Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-164,MITRE ATT&CK Framework,Execution,Implement Script Execution Security,Secure script execution and automation,High,Script Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-165,MITRE ATT&CK Framework,Execution,Implement Scheduled Task Security,Secure scheduled tasks and automation,Medium,Task Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-166,MITRE ATT&CK Framework,Execution,Implement Software Deployment Security,Secure software deployment processes,High,Deployment Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-167,MITRE ATT&CK Framework,Execution,Implement System Services Security,Secure system services and daemons,High,Service Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-168,MITRE ATT&CK Framework,Execution,Implement Windows Management Instrumentation Security,Secure WMI and system management,Medium,Management Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-169,MITRE ATT&CK Framework,Execution,Implement Container Execution Security,Secure container execution and orchestration,High,Container Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-170,MITRE ATT&CK Framework,Execution,Implement Cloud Infrastructure Security,Secure cloud infrastructure and services,High,Cloud Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-171,MITRE ATT&CK Framework,Persistence,Implement Account Manipulation Security,Secure account manipulation and privilege escalation,High,Account Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-172,MITRE ATT&CK Framework,Persistence,Implement Boot or Logon Autostart Execution Security,Secure boot and logon processes,High,System Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-173,MITRE ATT&CK Framework,Persistence,Implement Boot or Logon Initialization Scripts Security,Secure initialization scripts and processes,High,Script Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-174,MITRE ATT&CK Framework,Persistence,Implement Create or Modify System Process Security,Secure system process creation and modification,High,Process Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-175,MITRE ATT&CK Framework,Persistence,Implement Event Triggered Execution Security,Secure event-triggered execution and automation,Medium,Event Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-176,MITRE ATT&CK Framework,Persistence,Implement External Remote Services Security,Secure external remote services and access,High,Remote Access,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-177,MITRE ATT&CK Framework,Persistence,Implement Hijack Execution Flow Security,Secure execution flow and process integrity,High,Process Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-178,MITRE ATT&CK Framework,Persistence,Implement Implant Container Image Security,Secure container images and deployments,High,Container Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-179,MITRE ATT&CK Framework,Persistence,Implement Modify Authentication Process Security,Secure authentication processes and mechanisms,High,Authentication,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-180,MITRE ATT&CK Framework,Persistence,Implement OAuth Applications Security,Secure OAuth applications and tokens,High,OAuth Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-181,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Information Security Program,Establish comprehensive information security program,High,Program Management,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-182,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Risk Assessment,Conduct regular risk assessments,High,Risk Management,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-183,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Controls,Implement appropriate security controls,High,Security Controls,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-184,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Awareness,Provide security awareness training,Medium,Training,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-185,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Incident Response,Develop incident response capabilities,High,Incident Response,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-186,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Continuous Monitoring,Implement continuous monitoring capabilities,High,Monitoring,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-187,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Testing,Conduct regular security testing,High,Testing,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-188,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Documentation,Maintain security documentation,Medium,Documentation,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-189,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Reporting,Establish security reporting procedures,Medium,Reporting,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-190,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Governance,Establish security governance structure,High,Governance,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-191,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Budget,Allocate appropriate security budget,Medium,Budget,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-192,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Personnel,Ensure adequate security personnel,Medium,Personnel,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-193,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Technology,Deploy appropriate security technology,High,Technology,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-194,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Compliance,Ensure compliance with security requirements,High,Compliance,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-195,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Audit,Conduct regular security audits,Medium,Auditing,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-196,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Review,Conduct regular security reviews,Medium,Review,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-197,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Improvement,Continuously improve security posture,Medium,Improvement,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-198,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Communication,Establish security communication procedures,Medium,Communication,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-199,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Coordination,Coordinate security activities across organization,Medium,Coordination,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-200,Federal Information Security Modernization Act (FISMA),Information Security Program,Implement Security Integration,Integrate security into business processes,High,Integration,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-201,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Identity and Access Management,Establish comprehensive IAM policies and procedures,High,Identity Management,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-202,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Multi-Factor Authentication,Require MFA for all AWS accounts and services,High,Authentication,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-203,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Role-Based Access Control,Use RBAC to manage AWS permissions,High,Access Control,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-204,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Least Privilege Access,Ensure minimum necessary permissions,High,Access Control,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-205,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Access Monitoring,Monitor and audit access activities,High,Access Monitoring,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-206,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Access Reviews,Conduct regular access reviews,Medium,Access Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-207,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Identity Federation,Use identity federation for centralized authentication,Medium,Identity Federation,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-208,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Privileged Access Management,Manage privileged access to AWS resources,High,Privileged Access,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-209,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Access Logging,Log all access activities and events,High,Logging,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-210,AWS Well-Architected Security Pillar,Identity and Access Management,Implement Access Automation,Automate access provisioning and deprovisioning,Medium,Automation,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-211,AWS Well-Architected Security Pillar,Data Protection,Implement Data Encryption,Encrypt data at rest and in transit,High,Data Protection,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-212,AWS Well-Architected Security Pillar,Data Protection,Implement Key Management,Use AWS KMS for key management,High,Key Management,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-213,AWS Well-Architected Security Pillar,Data Protection,Implement Data Classification,Classify data based on sensitivity,High,Data Classification,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-214,AWS Well-Architected Security Pillar,Data Protection,Implement Data Loss Prevention,Use DLP to prevent data loss,High,Data Protection,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-215,AWS Well-Architected Security Pillar,Data Protection,Implement Backup and Recovery,Establish comprehensive backup and recovery,High,Backup Recovery,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-216,AWS Well-Architected Security Pillar,Data Protection,Implement Data Retention,Define data retention policies,Medium,Data Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-217,AWS Well-Architected Security Pillar,Data Protection,Implement Data Sanitization,Sanitize data before disposal,Medium,Data Management,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-218,AWS Well-Architected Security Pillar,Data Protection,Implement Data Integrity,Ensure data integrity and consistency,High,Data Integrity,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-219,AWS Well-Architected Security Pillar,Data Protection,Implement Data Masking,Use data masking for non-production,Medium,Data Protection,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-220,AWS Well-Architected Security Pillar,Data Protection,Implement Data Governance,Establish data governance policies,Medium,Data Governance,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-221,AWS Well-Architected Security Pillar,Data Protection,Implement Data Privacy,Ensure data privacy compliance,High,Privacy,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-222,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Network Security,Secure network infrastructure and communications,High,Network Security,High,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-223,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Compute Security,Secure compute resources and instances,High,Compute Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-224,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Storage Security,Secure storage resources and data,High,Storage Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-225,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Database Security,Secure database resources and data,High,Database Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-226,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Application Security,Secure application resources and code,High,Application Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-227,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Container Security,Secure container resources and orchestration,High,Container Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-228,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Serverless Security,Secure serverless resources and functions,High,Serverless Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-229,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Edge Security,Secure edge resources and CDN,Medium,Edge Security,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-230,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Hybrid Security,Secure hybrid cloud resources,High,Hybrid Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-231,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Multi-Cloud Security,Secure multi-cloud resources and services,High,Multi-Cloud Security,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-232,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Monitoring,Monitor infrastructure security and activities,High,Infrastructure Monitoring,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-233,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Automation,Automate security processes and responses,Medium,Automation,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-234,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Testing,Test infrastructure security controls,Medium,Testing,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-235,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Documentation,Document infrastructure security,Medium,Documentation,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-236,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Compliance,Ensure infrastructure security compliance,High,Compliance,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-237,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Governance,Establish infrastructure security governance,Medium,Governance,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-238,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Risk Management,Manage infrastructure security risks,High,Risk Management,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-239,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Incident Response,Develop infrastructure security incident response,High,Incident Response,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-240,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Business Continuity,Develop infrastructure security business continuity,High,Business Continuity,Medium,Critical,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-241,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Training,Provide infrastructure security training,Medium,Training,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-242,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Communication,Establish infrastructure security communication,Medium,Communication,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-243,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Coordination,Coordinate infrastructure security activities,Medium,Coordination,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-244,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Integration,Integrate infrastructure security into processes,High,Integration,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-245,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Innovation,Innovate infrastructure security solutions,Medium,Innovation,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-246,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Optimization,Optimize infrastructure security performance,Medium,Optimization,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-247,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Scalability,Scale infrastructure security solutions,Medium,Scalability,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-248,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Reliability,Ensure infrastructure security reliability,High,Reliability,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-249,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Availability,Ensure infrastructure security availability,High,Availability,Medium,High,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
bp-250,AWS Well-Architected Security Pillar,Infrastructure Protection,Implement Security Performance,Optimize infrastructure security performance,Medium,Performance,Low,Medium,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
